id_Manager;BE_lvl1;BE_lvl2;BE_lvl3
000d8193-9e17-ed11-b83e-000d3ab7a83f;КЦ Старшая школа-CRM;ОП Старшая школа-CRM;Maximum
001fdd2f-6414-ec11-b6e6-000d3ade38b8;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
0053c79b-3cf6-ec11-bb3d-000d3ab03ab4;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
011591b3-1d00-ec11-94ef-000d3adcd7fb;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
0252bcc6-3ba5-ec11-983f-000d3adf95c2;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
03301876-63f1-ec11-bb3d-0022489ebe52;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
03d6ca51-6769-ed11-9561-000d3aba3138;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
040a5de8-b5e3-ea11-a813-000d3ada4355;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
04aa436b-05da-ed11-a7c7-000d3aba3963;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
05301876-63f1-ec11-bb3d-0022489ebe52;ОП Старшая школа Клоузеры МСК-CRM;ОП Старшая школа-CRM;Maximum
0553c79b-3cf6-ec11-bb3d-000d3ab03ab4;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
058c8733-d211-ed11-b83d-000d3adf4f1b;КЦ Старшая школа-CRM;ОП Старшая школа-CRM;Maximum
0622ec30-9e44-ec11-8c62-000d3ab2aa23;ОП Старшая школа Клоузеры МСК-CRM;ОП Старшая школа-CRM;Maximum
062d25f9-c20b-ee11-8f6e-000d3ab7d13d;ОП Старшая школа Клоузеры МСК-CRM;ОП Старшая школа-CRM;Maximum
0640c04c-4975-ed11-81ab-000d3aba31a6;ОП Старшая школа Клоузеры МСК-CRM;ОП Старшая школа-CRM;Maximum
064f4b5b-fdd4-ec11-a7b5-0022489f6c39;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0665da0b-dd27-ee11-8381-ba5c733cbf1f;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
071b07b4-43fc-ec11-82e5-0022489f9b3c;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
07dcff3d-b355-ec11-8f8f-0022489ced7a;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0851fa05-86c2-ed11-83ff-000d3ab7d13d;КЦ Старшая школа Назначение-CRM;КЦ Старшая школа-CRM;Maximum
08804379-40e6-ec11-bb3c-000d3ab40d04;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
091b07b4-43fc-ec11-82e5-0022489f9b3c;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
0ab98e20-86cb-ec11-a7b5-000d3ab43dd6;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0ada43e4-7853-ed11-bba2-000d3aba1d28;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0b3d4040-5ac2-ec11-983f-000d3ab21f35;КЦ Старшая школа-CRM;ОП Старшая школа-CRM;Maximum
0c0c144a-9265-ed11-9561-000d3ab78251;ОП Средняя школа Хантеры-CRM;ОП Средняя школа-CRM;Maximum
0c734c7d-0a4b-ed11-bba2-000d3ab6d792;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
0d4246a1-aec0-ec11-983f-000d3ab21272;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
0dc0ff19-97a6-eb11-b1ac-000d3adcaffe;КЦ Средняя школа Назначение-CRM;КЦ Средняя школа-CRM;Maximum
0e0c144a-9265-ed11-9561-000d3ab78251;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0eacd204-b6c1-ed11-83ff-0022489f3c43;ОП Средняя школа Клоузеры МСК-CRM;ОП Средняя школа-CRM;Maximum
0f3a1050-4633-ed11-9db1-000d3aba1673;КЦ Старшая школа Назначение-CRM;КЦ Старшая школа-CRM;Maximum
0f43e9a8-2fe6-ec11-bb3c-000d3ab486c2;ОП Старшая школа Клоузеры СПБ-CRM;ОП Старшая школа-CRM;Maximum
0f5a9af5-c7bd-e911-a9ab-000d3ab20be2;Руководители средняя школа;ОП Средняя школа-CRM;Maximum
0f7a132a-acb9-ec11-983f-000d3a66f222;ОП Старшая школа Фермеры (неактуальное)-CRM;ОП Старшая школа-CRM;Maximum
