id Payment;id Agreement;Payment number;Scheduled payment date;Actual payment date;Scheduled payment amount;Actual payment amount
b9256db6-3113-ee11-8f6d-000d3aba1d28;00246db6-3113-ee11-8f6d-000d3aba1d28;2;15.07.2022;13.07.2022;10300;10300
6b9e98ff-3ee0-ed11-a7c6-000d3ab1f7e2;00839bf9-3ee0-ed11-a7c6-000d3ab1f7e2;2;15.07.2022;17.07.2022;6150;6150
8a37a4e9-919d-ed11-aad1-000d3ab78055;00eaabe3-919d-ed11-aad1-000d3ab78055;2;15.07.2022;15.07.2022;1835;1835
7d0e7987-6510-ee11-8f6d-000d3ab9cef5;010e7987-6510-ee11-8f6d-000d3ab9cef5;2;15.07.2022;03.07.2022;13450;13450
c4405d27-f8d2-ed11-a7c7-000d3ad8e94d;01405d27-f8d2-ed11-a7c7-000d3ad8e94d;2;15.07.2022;15.07.2022;7800;7800
afa3b70a-cccc-ed11-b597-000d3ab78055;01a3b70a-cccc-ed11-b597-000d3ab78055;2;15.07.2022;01.07.2022;6203;6203
21f8fd91-2223-ee11-8381-ba5c733cbf1f;02f7fd91-2223-ee11-8381-ba5c733cbf1f;1;15.07.2022;15.07.2022;3000;3000
f9ece213-79a4-ed11-aad1-000d3ab7d13d;0342e80d-79a4-ed11-aad1-000d3ab7d13d;2;15.07.2022;12.07.2022;10900;10900
974dc3b3-5c22-ee11-8382-cbacdae109f5;034dc3b3-5c22-ee11-8382-cbacdae109f5;1;17.07.2022;17.07.2022;45300;45300
5fb36a1c-1c82-ed11-81ad-000d3ab7d824;039f6116-1c82-ed11-81ad-000d3ab7d824;2;22.07.2022;22.07.2022;1990;1990
26a3fd41-ae15-ee11-8f6d-000d3aba3c86;03a2fd41-ae15-ee11-8f6d-000d3aba3c86;2;15.07.2022;15.07.2022;11600;11600
de04ed5e-d07f-ed11-81ad-000d3aba31a6;03b8f458-d07f-ed11-81ad-000d3aba31a6;2;19.07.2022;19.07.2022;987;987
92e88922-cdf7-ed11-8849-0022489f3c43;03e88922-cdf7-ed11-8849-0022489f3c43;2;15.07.2022;02.07.2022;6675;6675
c5ef8485-2db1-ed11-83ff-000d3ab7996e;03ef8485-2db1-ed11-83ff-000d3ab7996e;2;15.07.2022;02.07.2022;5500;5500
b4176301-cddd-ed11-a7c6-000d3aba31a6;04176301-cddd-ed11-a7c6-000d3aba31a6;2;15.07.2022;03.07.2022;1700;1700
0b3c5878-9d24-ee11-8381-ba5c733cbf1f;042d4307-8924-ee11-8381-ba5c733cbf1f;1;17.07.2022;17.07.2022;13000;13000
c52d4307-8924-ee11-8381-ba5c733cbf1f;042d4307-8924-ee11-8381-ba5c733cbf1f;2;17.07.2022;;13000;
39f31295-839d-ed11-aad1-000d3ab88280;04a81a8f-839d-ed11-aad1-000d3ab88280;2;15.07.2022;07.07.2022;5000;5000
a8831eb7-5026-ee11-8381-ba5c733cbf1f;05831eb7-5026-ee11-8381-ba5c733cbf1f;1;20.07.2022;20.07.2022;3000;3000
e7e9de24-5226-ee11-8381-ba5c733cbf1f;05831eb7-5026-ee11-8381-ba5c733cbf1f;2;24.07.2022;23.07.2022;72600;72600
82adf88b-2223-ee11-8381-ba5c733cbf1f;05adf88b-2223-ee11-8381-ba5c733cbf1f;1;15.07.2022;15.07.2022;3000;3000
2db680d6-46e7-ed11-a7c6-000d3aba33a3;05b580d6-46e7-ed11-a7c6-000d3aba33a3;2;15.07.2022;20.07.2022;8200;8200
14941e28-eed9-ed11-a7c7-000d3ab7889f;05befd21-eed9-ed11-a7c7-000d3ab7889f;2;15.07.2022;10.07.2022;6675;6675
895b3bcd-c218-ee11-8f6d-000d3aba3c86;065b3bcd-c218-ee11-8f6d-000d3aba3c86;1;02.07.2022;02.07.2022;7200;7200
